GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
crypto-checker,com.cryptochecker,Main.themes,0,34,0,0,0,1,0,1,0,1
crypto-checker,com.cryptochecker,Main.Theme,0,183,1,3,0,43,1,6,0,4
crypto-checker,com.cryptochecker,PanelCoin.TableModel,0,141,1,15,0,31,1,19,0,6
crypto-checker,com.cryptochecker,PanelPortfolio.TableRenderer,70,66,13,7,10,12,9,3,0,2
crypto-checker,com.cryptochecker,WebData.new TypeToken() {...},0,6,0,0,0,1,0,1,0,1
crypto-checker,com.cryptochecker,PanelPortfolio,42,1346,0,20,10,206,1,17,1,7
crypto-checker,com.cryptochecker,Menu.bPortfolioListener,37,0,0,0,8,0,2,0,2,0
crypto-checker,com.cryptochecker,WebData.Coin,7,228,0,10,3,34,0,12,0,7
crypto-checker,com.cryptochecker,Main,274,250,9,5,63,47,8,8,2,7
crypto-checker,com.cryptochecker,PanelPortfolio.bManagePortfolioListener,270,6,24,0,42,1,14,1,1,1
crypto-checker,com.cryptochecker,PanelPortfolio.bRefreshListener,5,6,0,0,3,1,1,1,1,1
crypto-checker,com.cryptochecker,Menu.bConverterListener,37,0,0,0,8,0,2,0,2,0
crypto-checker,com.cryptochecker,PanelCoin.TableRenderer,13,91,5,9,2,17,4,5,0,2
crypto-checker,com.cryptochecker,PanelSettings.bThemeListener,77,0,4,0,23,0,5,0,2,0
crypto-checker,com.cryptochecker,PanelConverter.bRefreshListener,5,6,0,0,3,1,1,1,1,1
crypto-checker,com.cryptochecker,PanelSettings.bDeleteListener,184,0,28,0,41,0,16,0,2,0
crypto-checker,com.cryptochecker,PanelSettings.colorListener,138,0,7,0,27,0,8,0,2,0
crypto-checker,com.cryptochecker,PanelSettings.colorChangeListener,53,0,7,0,17,0,8,0,2,0
crypto-checker,com.cryptochecker,PanelSettings.bColorApplyListener,85,0,0,0,20,0,2,0,2,0
crypto-checker,com.cryptochecker,PanelPortfolio.bAddCoinListener,335,6,14,0,76,1,9,1,1,1
crypto-checker,com.cryptochecker,Menu.bSettingsListener,37,0,0,0,8,0,2,0,2,0
crypto-checker,com.cryptochecker,PanelCoin.bRefreshListener,5,6,0,0,3,1,1,1,1,1
crypto-checker,com.cryptochecker,PanelConverter.new DocumentListener() {...},69,6,4,0,19,1,5,1,3,1
crypto-checker,com.cryptochecker,WebData,77,237,12,12,18,54,10,7,0,5
crypto-checker,com.cryptochecker,Debug.new WindowAdapter() {...},10,0,0,0,3,0,2,0,2,0
crypto-checker,com.cryptochecker,WebData.Global_Data,0,56,0,0,0,9,0,2,0,2
crypto-checker,com.cryptochecker,Menu,201,0,0,0,41,0,1,0,1,0
crypto-checker,com.cryptochecker,PanelPortfolio.TableModel,69,76,9,7,17,14,9,11,1,5
crypto-checker,com.cryptochecker,PanelSettings.bViewListener,21,0,0,0,7,0,2,0,2,0
crypto-checker,com.cryptochecker,PanelPortfolio.bSwitchPortfolioListener,67,6,6,0,14,1,4,1,1,1
crypto-checker,com.cryptochecker,Menu.bExitListener,16,0,0,0,6,0,2,0,2,0
crypto-checker,com.cryptochecker,PanelCoin.TableMouseListener,67,6,4,0,12,1,7,1,5,1
crypto-checker,com.cryptochecker,PanelPortfolio.bRemoveCoinListener,94,6,4,0,15,1,3,1,1,1
crypto-checker,com.cryptochecker,PanelSettings.bCurrencyListener,199,0,8,0,22,0,6,0,2,0
crypto-checker,com.cryptochecker,PanelSettings.bResetListener,106,0,0,0,27,0,2,0,2,0
crypto-checker,com.cryptochecker,PanelConverter.buttonCurrencyListener,236,9,19,0,41,3,11,1,1,1
crypto-checker,com.cryptochecker,PanelCoin,7,412,0,0,3,79,0,3,0,3
crypto-checker,com.cryptochecker,PanelConverter.bGlobalListener,11,6,0,0,3,1,1,1,1,1
crypto-checker,com.cryptochecker,PanelConverter,68,1410,7,34,16,244,7,22,0,8
crypto-checker,com.cryptochecker,Debug,30,117,1,1,9,21,1,3,0,3
crypto-checker,com.cryptochecker,PanelPortfolio.contentPaneScroll,36,6,2,0,7,1,2,1,1,1
crypto-checker,com.cryptochecker,PanelConverter.bSwitchListener,102,6,4,0,22,1,3,1,1,1
crypto-checker,com.cryptochecker,PanelCoin.SearchDocumentListener,65,6,4,0,13,1,5,1,3,1
crypto-checker,com.cryptochecker,PanelSettings.bDebugListener,10,0,0,0,3,0,2,0,2,0
crypto-checker,com.cryptochecker,WebData.RefreshCoins,75,0,0,0,20,0,2,0,2,0
crypto-checker,com.cryptochecker,PanelPortfolio.TableMouseListener,83,6,4,0,13,1,7,1,5,1
crypto-checker,com.cryptochecker,Menu.bCoinListener,37,0,0,0,8,0,2,0,2,0
crypto-checker,com.cryptochecker,PanelSettings,1253,35,8,0,259,7,11,1,7,1
